item,fips,fcode
MAN450207,46123,6021
MAN450207,46125,6021
MAN450207,46129,6021
MAN450207,46137,6021
MAN450207,47007,6021
MAN450207,47015,6021
MAN450207,47023,6021
MAN450207,47027,6021
MAN450207,47033,6021
MAN450207,47049,6021
MAN450207,47061,6021
MAN450207,47067,6021
MAN450207,47083,6021
MAN450207,47087,6021
MAN450207,47095,6021
MAN450207,47101,6021
MAN450207,47127,6021
MAN450207,47129,6021
MAN450207,47137,6021
MAN450207,47139,6021
MAN450207,47161,6021
MAN450207,47169,6021
MAN450207,47175,6021
MAN450207,48001,6021
MAN450207,48003,6021
MAN450207,48007,6021
MAN450207,48009,6021
MAN450207,48011,6021
MAN450207,48013,6021
MAN450207,48017,6021
MAN450207,48019,6021
MAN450207,48023,6021
MAN450207,48025,6021
MAN450207,48031,6021
MAN450207,48033,6021
MAN450207,48035,6021
MAN450207,48043,6021
MAN450207,48045,6021
MAN450207,48047,6021
MAN450207,48051,6021
MAN450207,48059,6021
MAN450207,48063,6021
MAN450207,48065,6021
MAN450207,48069,6021
MAN450207,48075,6021
MAN450207,48077,6021
MAN450207,48079,6021
MAN450207,48081,6021
MAN450207,48083,6021
MAN450207,48087,6021
MAN450207,48093,6021
MAN450207,48095,6021
MAN450207,48101,6021
MAN450207,48103,6021
MAN450207,48105,6021
MAN450207,48107,6021
MAN450207,48109,6021
MAN450207,48111,6021
MAN450207,48115,6021
MAN450207,48119,6021
MAN450207,48125,6021
MAN450207,48127,6021
MAN450207,48129,6021
MAN450207,48131,6021
MAN450207,48137,6021
MAN450207,48145,6021
MAN450207,48151,6021
MAN450207,48153,6021
MAN450207,48155,6021
MAN450207,48159,6021
MAN450207,48161,6021
MAN450207,48163,6021
MAN450207,48165,6021
MAN450207,48169,6021
MAN450207,48173,6021
MAN450207,48175,6021
MAN450207,48191,6021
MAN450207,48193,6021
MAN450207,48195,6021
MAN450207,48197,6021
MAN450207,48205,6021
MAN450207,48207,6021
MAN450207,48211,6021
MAN450207,48219,6021
MAN450207,48229,6021
MAN450207,48235,6021
MAN450207,48237,6021
MAN450207,48243,6021
MAN450207,48247,6021
MAN450207,48249,6021
MAN450207,48253,6021
MAN450207,48255,6021
MAN450207,48261,6021
MAN450207,48263,6021
MAN450207,48267,6021
MAN450207,48269,6021
MAN450207,48271,6021
MAN450207,48273,6021
MAN450207,48275,6021
MAN450207,48281,6021
MAN450207,48283,6021
MAN450207,48295,6021
MAN450207,48297,6021
MAN450207,48299,6021
MAN450207,48301,6021
MAN450207,48305,6021
MAN450207,48307,6021
MAN450207,48311,6021
MAN450207,48313,6021
MAN450207,48315,6021
MAN450207,48317,6021
MAN450207,48319,6021
MAN450207,48323,6021
MAN450207,48327,6021
MAN450207,48333,6021
MAN450207,48335,6021
MAN450207,48337,6021
MAN450207,48345,6021
MAN450207,48351,6021
MAN450207,48357,6021
MAN450207,48359,6021
MAN450207,48371,6021
MAN450207,48377,6021
MAN450207,48379,6021
MAN450207,48383,6021
MAN450207,48385,6021
MAN450207,48389,6021
MAN450207,48391,6021
MAN450207,48393,6021
MAN450207,48395,6021
MAN450207,48403,6021
